,operateur,libelle_categorie_consommation,libelle_grand_secteur,libelle_secteur_naf2,conso,pdl,indqual,nombre_mailles_secretisees,libelle_region
1,Régie de Saint Paul Cap de Joux,Petits professionels,Industrie,0,71.0,1,0.5,0,Occitanie
2,Régie de Saint Paul Cap de Joux,Résidentiel,Résidentiel,0,1580.0,317,0.5,0,Occitanie
3,Régie du syndicat intercommunal d'électricité de la vallée de Thônes,Entreprises,Industrie,0,191.215,1,1.0,0,Auvergne-Rhône-Alpes
4,Régie du syndicat intercommunal d'électricité de la vallée de Thônes,Entreprises,Tertiaire,Hébergement,5710.844,45,0.908,0,Auvergne-Rhône-Alpes
5,Régie du syndicat intercommunal d'électricité de la vallée de Thônes,Entreprises,Tertiaire,Enseignement,929.219,7,1.0,0,Auvergne-Rhône-Alpes
6,Régie du syndicat intercommunal d'électricité de la vallée de Thônes,Entreprises,Tertiaire,Autres services personnels,83.288,2,1.0,0,Auvergne-Rhône-Alpes
7,Régie du syndicat intercommunal d'électricité de la vallée de Thônes,Petits professionels,Agriculture,0,2192.182,123,0.0533,0,Auvergne-Rhône-Alpes
8,Régie du syndicat intercommunal d'électricité de la vallée de Thônes,Petits professionels,Secteur Inconnu,0,11954.534,1633,0.129,0,Auvergne-Rhône-Alpes
9,Régie électrique communale d'Aussois,Résidentiel,Résidentiel,0,4645.0,1260,1.0,0,Auvergne-Rhône-Alpes
10,Régie électrique d'Avrieux,Entreprises,Tertiaire,Activités immobilières,24.0,1,1.0,0,Auvergne-Rhône-Alpes
11,Régie électrique de Bessans,Résidentiel,Résidentiel,0,6574.0,934,0.0,0,Auvergne-Rhône-Alpes
12,Régie électrique de Bonneval-sur-Arc,Petits professionels,Tertiaire,0,903.0,66,0.0,0,Auvergne-Rhône-Alpes
13,Régie électrique de Bonneval-sur-Arc,Résidentiel,Résidentiel,0,2186.0,248,0.0,0,Auvergne-Rhône-Alpes
14,Régie électrique de La Cabanasse,Entreprises,Tertiaire,Hébergement,218.0,1,1.0,0,Occitanie
15,Régie électrique de Sainte-Foy-Tarentaise,Résidentiel,Résidentiel,0,7410.871,1021,0.378,0,Auvergne-Rhône-Alpes
16,Régie électrique municipale de Fontpedrouse,Entreprises,Tertiaire,Autres services personnels,312.0,1,1.0,0,Occitanie
17,Régie électriques de Tignes,Entreprises,Industrie,Travaux de construction spécialisés,37.06,1,0.0,0,Auvergne-Rhône-Alpes
18,Régie intercommunale d'électricité de Niederbronn-Reichshoffen,Entreprises,Tertiaire,"Commerce de gros, à l'exception des automobiles et des motocycles",2179.872,1,1.0,0,Grand Est
19,Régie intercommunale d'électricité de Niederbronn-Reichshoffen,Entreprises,Tertiaire,Transports terrestres et transport par conduites,248.018,1,1.0,0,Grand Est
20,Régie intercommunale d'électricité de Niederbronn-Reichshoffen,Entreprises,Tertiaire,"Autres activités spécialisées, scientifiques et techniques",2699.46,2,1.0,0,Grand Est
21,Régie intercommunale d'électricité de Niederbronn-Reichshoffen,Entreprises,Tertiaire,Activités des organisations associatives,3.881,1,1.0,0,Grand Est
22,Régie Municipale Bazas-Energies,Petits professionels,Tertiaire,0,671.369,71,0.028,0,Nouvelle-Aquitaine
24,Régie municipale d'électricité d'Arignac,Petits professionels,Tertiaire,0,385.0,52,1.0,0,Occitanie
25,Régie municipale d'électricité de Clouange,Entreprises,Tertiaire,Réparation et installation de machines et d'équipements,241.452,1,0.911,0,Grand Est
26,Régie municipale d'électricité de Clouange,Entreprises,Tertiaire,"Commerce de gros, à l'exception des automobiles et des motocycles",108.401,1,0.859,0,Grand Est
27,Régie municipale d'électricité de Clouange,Entreprises,Tertiaire,"Commerce de détail, à l'exception des automobiles et des motocycles",1665.381,4,0.98,0,Grand Est
28,Régie municipale d'électricité de Clouange,Entreprises,Secteur Inconnu,0,710.499,7,0.927,0,Grand Est
29,Régie municipale d'électricité de Clouange,Petits professionels,Tertiaire,0,204.059,51,0.49,0,Grand Est
30,Régie municipale d'électricité de l'Hospitalet Près L'Andorre,Entreprises,Tertiaire,"Commerce de détail, à l'exception des automobiles et des motocycles",123.0,1,1.0,0,Occitanie
32,Régie municipale d'électricité de l'Hospitalet Près L'Andorre,Résidentiel,Résidentiel,0,256.0,83,1.0,0,Occitanie
